instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,weekday_type,temp_smooth,hum_smooth,windspeed_smooth,cnt_smooth
1,2011-01-01,1,2011,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,Weekend,,,,
2,2011-01-02,1,2011,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,Weekend,,,,
3,2011-01-03,1,2011,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,Weekday,,,,
4,2011-01-04,1,2011,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,Weekday,,,,
5,2011-01-05,1,2011,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,Weekday,,,,
6,2011-01-06,1,2011,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,Weekday,,,,
7,2011-01-07,1,2011,1,0,5,1,2,0.196522,0.208839,0.498696,0.168726,148,1362,1510,Weekday,0.24740514285714285,0.5690774285714285,0.1803973142857143,1344.7142857142858
8,2011-01-08,1,2011,1,0,6,0,2,0.165,0.162254,0.535833,0.266804,68,891,959,Weekend,0.22180985714285711,0.530506,0.19559131428571425,1341.0
9,2011-01-09,1,2011,1,0,0,0,1,0.138333,0.116175,0.434167,0.36195,54,768,822,Weekend,0.1896462857142857,0.49308885714285716,0.2117928857142857,1344.0
10,2011-01-10,1,2011,1,0,1,1,1,0.150833,0.150888,0.482917,0.223267,41,1280,1321,Weekday,0.18314185714285713,0.4996094285714286,0.20821545714285714,1340.0
11,2011-01-11,1,2011,1,0,2,1,2,0.169091,0.191464,0.686364,0.122132,43,1220,1263,Weekday,0.17872628571428573,0.5133135714285714,0.20276345714285712,1297.2857142857142
12,2011-01-12,1,2011,1,0,3,1,1,0.172727,0.160473,0.599545,0.304627,25,1137,1162,Weekday,0.17097914285714283,0.5365404285714286,0.21958159999999996,1234.7142857142858
13,2011-01-13,1,2011,1,0,4,1,1,0.165,0.150883,0.470417,0.301,38,1368,1406,Weekday,0.16535799999999998,0.5297055714285714,0.2497865714285714,1206.142857142857
14,2011-01-14,1,2011,1,0,5,1,1,0.16087,0.188413,0.537826,0.126548,54,1367,1421,Weekday,0.16026485714285713,0.5352955714285714,0.24376114285714284,1193.4285714285713
15,2011-01-15,1,2011,1,0,6,0,2,0.233333,0.248112,0.49875,0.157963,222,1026,1248,Weekend,0.17002671428571428,0.529998,0.2282124285714286,1234.7142857142858
16,2011-01-16,1,2011,1,0,0,0,1,0.231667,0.234217,0.48375,0.188433,251,953,1204,Weekend,0.18336014285714283,0.5370812857142857,0.20342428571428567,1289.2857142857142
17,2011-01-17,1,2011,1,1,1,0,2,0.175833,0.176771,0.5375,0.194017,117,883,1000,Weekday,0.18693157142857145,0.5448788571428571,0.19924571428571428,1243.4285714285713
18,2011-01-18,1,2011,1,0,2,1,2,0.216667,0.232333,0.861667,0.146775,9,674,683,Weekday,0.19372814285714288,0.5699221428571428,0.20276614285714287,1160.5714285714287
19,2011-01-19,1,2011,1,0,3,1,2,0.292174,0.298422,0.741739,0.208317,78,1572,1650,Weekday,0.210792,0.5902355714285713,0.18900757142857144,1230.2857142857142
20,2011-01-20,1,2011,1,0,4,1,2,0.261667,0.25505,0.538333,0.195904,83,1844,1927,Weekday,0.2246015714285714,0.5999378571428571,0.17399385714285714,1304.7142857142858
21,2011-01-21,1,2011,1,0,5,1,1,0.1775,0.157833,0.457083,0.353242,75,1468,1543,Weekday,0.22697728571428571,0.5884031428571428,0.20637871428571428,1322.142857142857
22,2011-01-22,1,2011,1,0,6,0,1,0.0591304,0.0790696,0.4,0.17197,93,888,981,Weekend,0.20209119999999997,0.574296,0.20837971428571428,1284.0
23,2011-01-23,1,2011,1,0,0,0,1,0.0965217,0.0988391,0.436522,0.2466,150,836,986,Weekend,0.18278472857142858,0.5675491428571429,0.2166892857142857,1252.857142857143
24,2011-01-24,1,2011,1,0,1,1,1,0.0973913,0.11793,0.491739,0.15833,86,1330,1416,Weekday,0.17157877142857142,0.5610118571428572,0.21159114285714287,1312.2857142857142
25,2011-01-25,1,2011,1,0,2,1,2,0.223478,0.234526,0.616957,0.129796,186,1799,1985,Weekday,0.17255177142857142,0.5260532857142857,0.20916557142857145,1498.2857142857142
26,2011-01-26,1,2011,1,0,3,1,3,0.2175,0.2036,0.8625,0.29385,34,472,506,Weekday,0.1618840571428571,0.5433048571428571,0.22138457142857143,1334.857142857143
27,2011-01-27,1,2011,1,0,4,1,1,0.195,0.2197,0.6875,0.113837,15,416,431,Weekday,0.1523602,0.5646144285714286,0.20966071428571428,1121.142857142857
28,2011-01-28,1,2011,1,0,5,1,2,0.203478,0.223317,0.793043,0.1233,38,1129,1167,Weekday,0.15607134285714283,0.6126087142857143,0.17681185714285716,1067.4285714285713
29,2011-01-29,1,2011,1,0,6,0,1,0.196522,0.212126,0.651739,0.145365,123,975,1098,Weekend,0.1756987142857143,0.6485714285714286,0.17301114285714286,1084.142857142857
30,2011-01-30,1,2011,1,0,0,0,1,0.216522,0.250322,0.722174,0.0739826,140,956,1096,Weekend,0.1928416142857143,0.6893788571428571,0.1483515142857143,1099.857142857143
31,2011-01-31,1,2011,1,0,1,1,2,0.180833,0.18625,0.60375,0.187192,42,1459,1501,Weekday,0.20476185714285716,0.7053804285714286,0.15247465714285716,1112.0
32,2011-02-01,1,2011,2,0,2,1,2,0.192174,0.23453,0.829565,0.053213,47,1313,1360,Weekday,0.20028985714285713,0.735753,0.14153422857142858,1022.7142857142857
33,2011-02-02,1,2011,2,0,3,1,2,0.26,0.254417,0.775417,0.264308,72,1454,1526,Weekday,0.20636128571428572,0.7233125714285714,0.13731394285714285,1168.4285714285713
34,2011-02-03,1,2011,2,0,4,1,1,0.186957,0.177878,0.437826,0.277752,61,1489,1550,Weekday,0.2052122857142857,0.6876448571428571,0.16073037142857144,1328.2857142857142
35,2011-02-04,1,2011,2,0,5,1,2,0.211304,0.228587,0.585217,0.127839,88,1620,1708,Weekday,0.2063302857142857,0.6579554285714285,0.16137880000000002,1405.5714285714287
36,2011-02-05,1,2011,2,0,6,0,2,0.233333,0.243058,0.929167,0.161079,100,905,1005,Weekend,0.211589,0.697588,0.16362365714285712,1392.2857142857142
37,2011-02-06,1,2011,2,0,0,0,1,0.285833,0.291671,0.568333,0.1418,354,1269,1623,Weekend,0.22149057142857145,0.6756107142857143,0.17331185714285716,1467.5714285714287
38,2011-02-07,1,2011,2,0,1,1,1,0.271667,0.303658,0.738333,0.0454083,120,1592,1712,Weekday,0.23446685714285717,0.6948368571428573,0.1530570428571429,1497.7142857142858
